::1 - - [31/Jan/2021:23:53:50 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 130 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:00:26 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:05:12 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:05:33 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 409 46 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:05:38 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 136 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:05:51 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 23 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:07:40 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 128 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:09:00 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 130 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:11:21 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 409 47 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:11:28 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 132 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:00:18:06 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 134 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:09:13:16 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 140 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:09:55:24 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 201 134 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:10:13:22 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 48 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:10:15:26 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:10:16:29 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:10:17:24 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:10:18:58 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:11:23:34 +0000] "GET /api/v1/proyecto8/usuarios/activacion HTTP/1.1" 500 42 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:11:48:32 +0000] "GET /api/v1/proyecto8/usuarios/activacion HTTP/1.1" 400 44 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:15:29:29 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 40 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:15:29:51 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 63 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:15:30:03 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:17:56:25 +0000] "POST /api/v1/proyecto8/usuarios/login HTTP/1.1" 400 39 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:17:56:38 +0000] "POST /api/v1/proyecto8/usuarios/login HTTP/1.1" 403 94 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:18:17:07 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 409 46 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:18:17:22 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 409 46 "-" "PostmanRuntime/7.26.8"
::1 - - [01/Feb/2021:18:17:30 +0000] "POST /api/v1/proyecto8/usuarios/registro HTTP/1.1" 500 65 "-" "PostmanRuntime/7.26.8"
